2023-05-15 00:05:318 INFO  HomePage :27 - Top menu
2023-05-15 00:05:890 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (69e3a0f39ffb27ece018c584164aebde)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:83 INFO  HomePage :60 - sort type [[ChromeDriver: chrome on WINDOWS (69e3a0f39ffb27ece018c584164aebde)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:345 INFO  HomePage :56 - select Processor Proxy element for: DefaultElementLocator 'By.xpath: //select[@id='product_attribute_1']'
2023-05-15 00:05:824 INFO  HomePage :27 - Top menu
2023-05-15 00:05:294 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:506 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:752 INFO  HomePage :60 - sort type [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:28 INFO  HomePage :56 - select Processor [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> xpath: //select[@id='product_attribute_1']]
2023-05-15 00:05:203 INFO  HomePage :62 - select ram [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> xpath: //select[@id='product_attribute_2']]
2023-05-15 00:05:365 INFO  HomePage :68 - select HDD [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> id: product_attribute_3_7]
2023-05-15 00:05:462 INFO  HomePage :74 - select vista premium [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> id: product_attribute_4_9]
2023-05-15 00:05:554 INFO  HomePage :80 - select total commander [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> id: product_attribute_5_12]
2023-05-15 00:05:652 INFO  HomePage :92 - add To Cart Button [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> xpath: //button[@class='button-1 add-to-cart-button']]
2023-05-15 00:05:743 INFO  HomePage :86 - get price [[ChromeDriver: chrome on WINDOWS (8abc0f76373d7213852bcfa1676aa8de)] -> xpath: //div[@class='product-price']]
2023-05-15 00:05:433 INFO  HomePage :27 - Top menu
2023-05-15 00:05:931 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:93 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:348 INFO  HomePage :60 - sort type [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:696 INFO  HomePage :56 - select Processor [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> xpath: //select[@id='product_attribute_1']]
2023-05-15 00:05:829 INFO  HomePage :62 - select ram [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> xpath: //select[@id='product_attribute_2']]
2023-05-15 00:05:01 INFO  HomePage :68 - select HDD [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> id: product_attribute_3_7]
2023-05-15 00:05:124 INFO  HomePage :74 - select vista premium [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> id: product_attribute_4_9]
2023-05-15 00:05:255 INFO  HomePage :80 - select total commander [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> id: product_attribute_5_12]
2023-05-15 00:05:371 INFO  HomePage :92 - add To Cart Button [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> xpath: //button[@class='button-1 add-to-cart-button']]
2023-05-15 00:05:476 INFO  HomePage :86 - get price [[ChromeDriver: chrome on WINDOWS (4a8a8dd67ce34fac805397416397ec8c)] -> xpath: //div[@class='product-price']]
2023-05-15 00:05:746 INFO  HomePage :27 - Top menu
2023-05-15 00:05:874 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:48 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:309 INFO  HomePage :60 - sort type [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:994 INFO  HomePage :56 - select Processor [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> xpath: //select[@id='product_attribute_1']]
2023-05-15 00:05:118 INFO  HomePage :62 - select ram [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> xpath: //select[@id='product_attribute_2']]
2023-05-15 00:05:274 INFO  HomePage :68 - select HDD [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> id: product_attribute_3_7]
2023-05-15 00:05:373 INFO  HomePage :74 - select vista premium [[ChromeDriver: chrome on WINDOWS (0a433cce68ad703b0f17503778ca25c8)] -> id: product_attribute_4_9]
